"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts"
"LA GRANGE TX",-96.87730408,29.90603638,3,0,3,0
"LA HABRA CA",-117.9494629,33.93001556,13,4,2,7
"LA JUNTA CO",-103.544075,37.98753738,2,0,0,2
"LA MARQUE TX",-94.97169495,29.37788391,4,3,1,0
"LA MESA CA",-117.0447464,32.76841354,46,9,14,23
"LA MIRADA CA",-118.0295639,33.85194778,15,9,2,4
"LA PINE OR",-121.5054627,43.67027664,3,1,1,1
"LA PORTE IN",-86.7223587,41.61079025,1,0,1,0
"LA PORTE TX",-95.01729584,29.66588402,9,0,4,5
"LA VERGNE TN",-86.58178711,36.01600266,12,3,5,4
"LA VERNE CA",-117.7696304,34.1006546,78,19,22,37
"LA VETA CO",-105.0112076,37.51592636,1,0,1,0
"LACEY WA",-122.8096161,47.03732681,57,12,16,29
"LACKAWANNA NY",-78.82299805,42.8258667,1,0,1,0
"LACONIA NH",-71.46888733,43.52740097,31,6,7,18
"LADUE MO",-90.38077545,38.64994049,1,0,0,1
"LADY LAKE FL",-81.92842865,28.92837715,15,4,4,7
"LAFAYETTE CA",-122.1200104,37.88574982,48,17,14,17
"LAFAYETTE CO",-105.0904388,39.99370956,141,42,47,52
"LAFAYETTE IN",-86.88406372,40.42077255,143,36,36,71
"LAFAYETTE LA",-92.01987457,30.22468185,659,160,174,325
"LAFAYETTE OR",-123.1177979,45.24378967,33,4,7,22
"LAFAYETTE TN",-86.02629089,36.52130127,7,1,5,1
"LAGRANGE OH",-82.11968231,41.23716736,3,2,1,0
"LAGUNA BEACH CA",-117.7847061,33.54205322,127,41,30,56
"LAKE ARTHUR LA",-92.67166901,30.08100891,1,0,0,1
"LAKE BLUFF IL",-87.83427429,42.2790184,8,0,2,6
"LAKE CHARLES LA",-93.21766663,30.22713852,86,17,23,46
"LAKE CITY FL",-82.6391983,30.19030762,2,1,1,0
"LAKE CITY MI",-85.21483612,44.3353653,1,0,0,1
"LAKE CITY MN",-92.26745605,44.44919205,1,0,0,1
"LAKE CITY SC",-79.75487518,33.87107086,4,1,1,2
"LAKE FOREST IL",-87.84095764,42.25865555,10,4,2,4
"LAKE GENEVA WI",-88.43348694,42.59184265,20,6,6,8
"LAKE GEORGE NY",-73.71913147,43.42655563,3,0,2,1
"LAKE HAVASU CITY AZ",-114.3244324,34.48379517,23,12,7,4
"LAKE JACKSON TX",-95.43475342,29.03430176,17,1,6,10
"LAKE MARY FL",-81.31755829,28.75924492,17,3,5,9
"LAKE MS",-89.32857513,32.34328842,1,0,1,0
"LAKE OSWEGO OR",-122.6727066,45.42033005,22,7,5,10
"LAKE PARK FL",-80.06585693,26.80088615,1,0,0,1
"LAKE PLACID FL",-81.36245728,27.29381371,6,6,0,0
"LAKE PLACID NY",-73.97898865,44.27967072,3,0,2,1
"LAKE STATION IN",-87.23908997,41.57525253,12,5,5,2
"LAKE STEVENS WA",-122.0684662,48.01782227,44,9,10,25
"LAKE TOMAHAWK WI",-89.59381866,45.81399536,1,1,0,0
"LAKE VILLA IL",-88.07393646,42.4168129,3,1,0,2
"LAKE WALES FL",-81.58531189,27.90217018,3,2,1,0
"LAKE WORTH FL",-80.05649567,26.61662102,41,6,15,20
"LAKE WORTH TX",-97.44586182,32.80501556,1,1,0,0
"LAKE ZURICH IL",-88.09326935,42.1971283,4,0,1,3
"LAKELAND FL",-81.95620728,28.04432487,243,77,62,104
"LAKEMOOR IL",-88.19921875,42.32862854,5,1,1,3
"LAKESIDE PARK KY",-84.56926727,39.03553772,1,0,0,1
"LAKEVIEW OH",-83.9243927,40.48482895,1,0,0,1
"LAKEVILLE MN",-93.24331665,44.64937973,22,8,4,10
"LAKEWOOD CA",-118.1357193,33.85370636,39,10,12,17
"LAKEWOOD CO",-105.0827332,39.70486069,67,17,22,28
"LAKEWOOD IL",-88.548576355,40.620773315,1,0,1,0
"LAKEWOOD NJ",-74.21684265,40.09822845,20,4,10,6
"LAKEWOOD NY",-79.33265686,42.10427094,4,2,0,2
"LAKEWOOD OH",-81.79773712,41.48223114,327,84,96,147
"LAKEWOOD WA",-122.3653679,47.661533355,33,7,9,17
"LAMAR CO",-102.6111527,38.08679581,12,2,4,6
"LAMBERTVILLE NJ",-74.94231415,40.36618423,17,7,3,7
"LANCASTER CA",-118.1386871,34.69804001,114,34,30,50
"LANCASTER KS",-95.30338287,39.57285309,3,1,2,0
"LANCASTER KY",-84.57772064,37.61965561,3,0,1,2
"LANCASTER MN",-96.80472565,48.85840988,1,1,0,0
"LANCASTER NY",-78.67009735,42.90063477,19,5,5,9
"LANCASTER OH",-82.59890747,39.71387482,12,4,3,5
"LANCASTER PA",-76.30498505,40.03824234,542,161,156,225
"LANCASTER SC",-80.76622772,34.71495819,12,2,1,9
"LANCASTER TX",-96.75682831,32.59244156,10,2,2,6
"LANCASTER WI",-90.71117401,42.84736252,1,0,0,1
"LANDER WY",-108.7319489,42.83276749,4,1,1,2
"LANDOVER HILLS MD",-76.89152527,38.94342804,45,9,6,30
"LANGHORNE PA",-74.92177582,40.17494965,86,20,19,47
"LANGLEY WA",-122.4162674,48.03789139,36,10,7,19
"LANSDALE PA",-75.28330994,40.24167633,14,4,3,7
"LANSDOWNE PA",-75.27108765,39.93852234,157,33,38,86
"LANSING IL",-87.5393219,41.56502151,43,11,11,21
"LANSING MI",-84.55532074,42.73265839,772,204,238,330
"LANTANA FL",-80.05174255,26.58732224,1,0,1,0
"LAPEER MI",-83.31890869,43.05135345,52,11,15,26
"LAPEL IN",-85.84798431,40.06825638,1,1,0,0
"LARAMIE WY",-105.592804,41.3115387,89,22,29,38
"LARCHMONT NY",-73.7507782,40.92812729,3,1,1,1
"LAREDO TX",-99.50824738,27.50720978,186,35,59,92
"LARGO FL",-82.78675079,27.91026115,337,77,124,136
"LARKSPUR CA",-122.5373993,37.93414688,10,2,4,4
"LARKSPUR CO",-104.8885803,39.22866058,1,0,0,1
"LAS CRUCES NM",-106.7798538,32.31209564,149,37,46,66
"LAS VEGAS NM",-105.2182999,35.6000061,8,0,5,3
"LAS VEGAS NV",-115.1382141,36.17488098,8222,2160,2410,3652
"LATHROP CA",-121.2790833,37.82243729,20,3,10,7
"LATHROP MO",-94.33037567,39.54841995,1,0,0,1
"LATHRUP VILLAGE MI",-83.22232819,42.49633026,2,2,0,0
"LATROBE PA",-79.37892914,40.32139206,11,3,5,3
"LAUDERDALE LAKES FL",-80.20793915,26.1671524,42,11,10,21
"LAUDERDALE MN",-93.20005798,44.99473572,3,2,0,1
"LAUDERHILL FL",-80.21311188,26.14096451,3,1,1,1
"LAUREL MS",-89.13054657,31.69452286,13,2,2,9
"LAUREL MT",-108.7678986,45.67721939,3,0,0,3
"LAUREL NE",-97.09031677,42.4295311,1,1,0,0
"LAURENS SC",-82.01370239,34.4994812,1,0,0,1
"LAURINBURG NC",-79.46212769,34.77434921,2,0,1,1
"LAVONIA GA",-83.10657501,34.4361496,13,3,7,3
"LAWNDALE CA",-118.3547897,33.88746262,23,6,5,12
"LAWRENCE IN",-86.02498627,39.83873749,7,1,2,4
"LAWRENCE KS",-95.23565674,38.97153091,1656,471,481,704
"LAWRENCE MA",-71.15792084,42.70630646,33,10,9,14
"LAWRENCEBURG IN",-84.85410309,39.09534454,2,1,1,0
"LAWRENCEBURG KY",-84.89624023,38.03728867,19,6,4,9
"LAWRENCEBURG TN",-87.33492279,35.24256897,34,4,14,16
"LAWRENCEVILLE GA",-83.98753357,33.95662308,153,40,51,62
"LAWRENCEVILLE IL",-87.68203735,38.7292366,1,0,1,0
"LAWRENCEVILLE VA",-77.84610748,36.75788879,12,3,2,7
"LAWSON MO",-94.20426941,39.43822098,1,0,0,1
"LAWTON OK",-98.39124298,34.60861969,155,46,36,73
"LAYTON UT",-111.9724808,41.06021118,27,9,6,12
"LAYTONSVILLE MD",-77.14225006,39.21226501,1,0,0,1
"LE CLAIRE IA",-90.3465271,41.59780884,1,0,0,1
"LE MARS IA",-96.16635132,42.79434967,1,1,0,0
"LE ROY IL",-88.76422882,40.35198975,2,1,0,1
"LEACHVILLE AR",-90.2583313,35.93592834,1,1,0,0
"LEADVILLE CO",-106.2934418,39.2509613,2,0,0,2
"LEAGUE CITY TX",-95.09550476,29.50793457,105,26,30,49
"LEANDER TX",-97.85368347,30.57936287,51,13,12,26
"LEAVENWORTH KS",-94.92282867,39.31124115,61,14,17,30
"LEAVENWORTH WA",-120.6632767,47.59615707,1,0,1,0
"LEAWOOD KS",-94.61756897,38.96688461,30,7,10,13
"LEBANON IN",-86.46936035,40.0486412,4,0,1,3
"LEBANON KY",-85.25253296,37.56981277,1,0,1,0
"LEBANON MO",-92.66392517,37.68081284,7,2,1,4
"LEBANON NH",-72.251091,43.64245987,3,0,0,3
"LEBANON OH",-84.20275879,39.43528748,21,3,8,10
"LEBANON OR",-122.9096909,44.53636551,3,1,0,2
"LEBANON PA",-76.41091156,40.34118652,29,7,9,13
"LEBANON TN",-86.29133606,36.20846939,51,16,14,21
"LEBANON VA",-82.07959747,36.90112305,8,2,3,3
"LECOMPTE LA",-92.40045929,31.09491348,4,0,1,3
"LEEDS AL",-86.54457092,33.54820251,3,2,1,0
"LEESBURG FL",-81.87727356,28.81123161,78,20,29,29
"LEESBURG GA",-84.17071533,31.73245049,1,0,1,0
"LEESBURG VA",-77.56890869,39.11256027,54,10,19,25
"LEESPORT PA",-75.96580505,40.44723892,3,2,1,0
"LEHI UT",-111.8519974,40.39155197,18,4,7,7
"LEIPSIC OH",-83.98432922,41.09840775,3,1,2,0
"LEITCHFIELD KY",-86.29386139,37.47995377,2,0,1,1
"LELAND NC",-78.04415131,34.25672913,21,8,5,8
"LEMON GROVE CA",-117.0335465,32.74267197,12,4,3,5
"LEMOORE CA",-119.7849197,36.30083084,6,0,2,4
"LENEXA KS",-94.73374176,38.95368576,55,16,17,22
"LENGBY MN",-95.63667297,47.51546478,1,0,0,1
"LENOIR CITY TN",-84.25585175,35.79733276,7,0,1,6
"LENOIR NC",-81.53869629,35.91436386,28,7,8,13
"LEOMINSTER MA",-71.75862122,42.52514648,1,0,0,1
"LESLIE MO",-91.23233795,38.41774368,24,2,12,10
"LEWES DE",-75.1359024,38.77365494,52,15,15,22
"LEWIS IN",-87.25762177,39.26026917,6,2,2,2
"LEWISBURG PA",-76.88389587,40.96484756,4,0,2,2
"LEWISBURG WV",-80.44319916,37.79904556,1,1,0,0
"LEWISPORT KY",-86.90222931,37.93730164,1,0,1,0
"LEWISTON ID",-117.0198975,46.41637421,23,7,4,12
"LEWISTON ME",-70.21377563,44.10037231,12,3,3,6
"LEWISTON NY",-79.03521729,43.17250061,2,0,2,0
"LEWISTOWN PA",-77.57058716,40.59930801,1,0,1,0
"LEWISVILLE TX",-96.99449921,33.04630661,140,46,31,63
"LEXINGTON IN",-85.62545776,38.65218353,1,0,0,1
"LEXINGTON MA",-71.22381592,42.44742584,31,13,5,13
"LEXINGTON MO",-93.88013458,39.18475342,4,1,2,1
"LEXINGTON MS",-90.05338287,33.11347961,1,1,0,0
"LEXINGTON NC",-80.25289154,35.8242569,10,4,4,2
"LEXINGTON SC",-81.23597717,33.98204041,110,31,30,49
"LEXINGTON TN",-88.39100647,35.64579391,6,3,1,2
"LEXINGTON VA",-79.4422226,37.78420639,71,22,15,34
"LIBBY MT",-115.5511856,48.38265991,18,6,2,10
"LIBERAL KS",-100.9224777,37.04306412,6,2,2,2
"LIBERAL MO",-94.52056122,37.55810547,27,6,8,13
"LIBERTY HILL TX",-97.92319489,30.66527367,5,1,2,2
"LIBERTY KY",-84.93912506,37.31856537,1,0,0,1
"LIBERTY ME",-69.30149841,44.389534,3,1,2,0
"LIBERTY MO",-94.4196167,39.24604034,140,44,42,54
"LIBERTY MS",-90.81230927,31.15865898,15,7,3,5
"LIBERTY NY",-74.74575043,41.80154037,1,0,1,0
"LIBERTY SC",-82.69210052,34.78824234,3,0,0,3
"LIBERTY TX",-94.79598999,30.05861664,4,2,0,2
"LICKING MO",-91.85713959,37.49972916,10,0,8,2
"LIGONIER PA",-79.23710632,40.24316025,27,7,11,9
"LILBURN GA",-84.14273834,33.89017868,22,4,7,11
"LILLINGTON NC",-78.81506348,35.39981079,7,4,1,2
"LIMA MT",-112.5906906,44.63881302,1,0,1,0
"LIMA OH",-84.10490417,40.74259186,38,12,8,18
"LINCOLN CA",-121.2951202,38.89149475,23,8,7,8
"LINCOLN CITY OR",-124.0207748,44.95772934,1,0,1,0
"LINCOLN IL",-89.36495209,40.1486702,5,1,0,4
"LINCOLN MA",-71.30281067,42.4262085,3,0,2,1
"LINCOLN ME",-68.50415802,45.36241531,1,1,0,0
"LINCOLN NE",-96.6674118,40.80001068,647,173,185,289
"LINCOLN NH",-71.66905212,44.04570007,2,1,0,1
"LINCOLN PARK MI",-83.17868042,42.25064468,9,2,3,4
"LINCOLN PARK NJ",-74.30114746,40.92467117,2,1,0,1
"LINCOLNSHIRE IL",-87.90823364,42.18999863,2,0,0,2
"LINCOLNTON NC",-81.25417328,35.47389603,8,5,1,2
"LINCOLNWOOD IL",-87.73023987,42.00463104,6,0,1,5
"LINDALE TX",-95.40984344,32.51585007,26,7,9,10
"LINDEN NJ",-74.24382782,40.62202454,8,3,3,2
"LINDEN TN",-87.83943939,35.61751175,3,0,2,1
"LINDENHURST NY",-73.37233734,40.68688583,17,2,4,11
"LINDENWOLD NJ",-74.99706268,39.82461548,3,1,1,1
"LINDSAY CA",-119.0900345,36.20293427,1,1,0,0
"LINN MO",-91.85089874,38.48598862,1,1,0,0
"LINO LAKES MN",-93.08938599,45.16019058,4,1,2,1
"LISBON OH",-80.76804352,40.77227402,8,4,3,1
"LISLE IL",-88.07471466,41.80134964,5,0,2,3
"LITCHFIELD CT",-73.18777466,41.74758911,2,0,1,1
"LITCHFIELD IL",-89.65457916,39.17536163,4,0,2,2
"LITITZ PA",-76.30600739,40.15749741,16,2,6,8
"LITTLE CHUTE WI",-88.31884003,44.27976608,18,6,1,11
"LITTLE FALLS NJ",-74.20709229,40.86914444,3,1,2,0
"LITTLE FALLS NY",-74.85877991,43.04351807,1,0,0,1
"LITTLE ROCK AR",-92.28178406,34.7369194,1550,426,403,721
"LITTLESTOWN PA",-77.08756256,39.74491119,7,2,4,1
"LITTLETON CO",-105.0176163,39.6132431,74,22,29,23
"LITTLETON MA",-71.50911713,42.54176712,2,1,0,1
"LITTLETON NC",-77.91158295,36.4350853,1,0,0,1
"LIVE OAK CA",-121.662529,39.2755127,2,1,1,0
"LIVE OAK FL",-82.98397064,30.29559708,7,0,7,0
"LIVERMORE CA",-121.7701416,37.68147659,37,7,13,17
"LIVERPOOL NY",-76.21547699,43.10769653,14,3,1,10
"LIVINGSTON LA",-90.74835205,30.50234604,3,0,0,3
"LIVINGSTON MT",-110.5622253,45.66219711,30,4,11,15
"LIVINGSTON NJ",-74.31424713,40.79631042,4,2,1,1
"LIVINGSTON TX",-94.93333435,30.71132088,5,1,1,3
"LIVONIA MI",-83.35256958,42.36862564,119,33,25,61
"LLANO TX",-98.67580414,30.7595768,6,2,3,1
"LOBELVILLE TN",-87.78421021,35.77219772,1,0,0,1
"LOCK HAVEN PA",-77.44603729,41.13732147,5,2,2,1
"LOCKHART TX",-97.67056274,29.88551712,1,0,0,1
"LOCKPORT IL",-88.0581131,41.58958435,5,0,4,1
"LOCKPORT NY",-78.69011688,43.17089081,15,1,5,9
"LOCUST GROVE GA",-84.10900879,33.3461113,1,0,0,1
"LOCUST NC",-80.42564392,35.26195145,5,1,2,2
"LODI CA",-121.2742386,38.12984467,58,19,10,29
"LODI NJ",-74.08244324,40.88240814,6,1,2,3
"LODI WI",-89.52679443,43.31368637,3,1,0,2
"LOGAN OH",-82.40658569,39.54026794,12,5,1,6
"LOGAN UT",-111.8171616,41.73900604,251,66,65,120
"LOGAN WV",-81.99302673,37.8519783,1,0,0,1
"LOGANSPORT IN",-86.36410522,40.75329208,17,4,7,6
"LOGANVILLE GA",-83.90035248,33.83914948,31,4,7,20
"LOMA LINDA CA",-117.2628555,34.04835129,4,1,2,1
"LOMBARD IL",-88.00775909,41.8800621,19,7,5,7
"LOMIRA WI",-88.44380188,43.59117126,130,26,47,57
"LOMITA CA",-118.3169556,33.79204941,12,1,5,6
"LOMPOC CA",-120.4598694,34.63894272,17,8,3,6
"LONDON KY",-84.08328247,37.12937546,9,4,3,2
"LONE JACK MO",-94.17330933,38.87243652,1,1,0,0
"LONG BEACH CA",-118.1908112,33.7670517,1432,398,411,623
"LONG BEACH MS",-89.15268707,30.35081673,3,0,3,0
"LONG BEACH NY",-73.6654129,40.58349991,61,14,17,30
"LONG BEACH WA",-124.0569916,46.35176086,13,3,3,7
"LONG BRANCH NJ",-73.991745,40.30428314,14,1,4,9
"LONG GROVE IL",-87.99829865,42.17835617,3,0,1,2
"LONG LAKE WI",-88.6680603,45.84259415,1,0,1,0
"LONGMEADOW MA",-72.5818634,42.05022812,15,7,2,6
"LONGMONT CO",-105.1026764,40.16700745,114,27,34,53
"LONGVIEW TX",-94.73707581,32.4966507,112,30,36,46
"LONGVIEW WA",-122.9404221,46.1375885,90,17,35,38
"LONGWOOD FL",-81.34702301,28.69888687,9,2,1,6
"LONOKE AR",-91.90023804,34.78399277,2,1,0,1
"LONSDALE AR",-92.80835724,34.54459763,1,0,0,1
"LOOMIS NE",-99.50801086,40.47853851,1,0,0,1
"LORAIN OH",-82.17118073,41.45874023,51,7,15,29
"LORIS SC",-78.89011383,34.05680084,21,4,8,9
"LOS ALAMITOS CA",-118.0414505,33.77706909,2,0,0,2
"LOS ALTOS CA",-122.1163025,37.38525772,64,18,19,27
"LOS ANGELES CA",-118.2459106,34.05225754,38320,10420,10677,17223
"LOS BANOS CA",-120.8519363,37.05815887,4,2,0,2
"LOS FRESNOS TX",-97.47680664,26.07257271,3,3,0,0
"LOS GATOS CA",-121.9771652,37.22674561,63,18,18,27
"LOS LUNAS NM",-106.7300263,34.80502701,5,2,1,2
"LOUDON TN",-84.33385468,35.73310471,7,3,0,4
"LOUISA KY",-82.60322571,38.11429596,13,0,4,9
"LOUISA VA",-78.00349426,38.0253067,41,9,14,18
"LOUISBURG KS",-94.68140411,38.61960602,37,14,10,13
"LOUISBURG NC",-78.30069733,36.09918594,1,1,0,0
"LOUISVILLE AL",-85.55543518,31.78362274,2,1,0,1
"LOUISVILLE CO",-105.1326523,39.97768402,35,12,5,18
"LOUISVILLE NE",-96.16282654,40.99780273,1,0,0,1
"LOUISVILLE OH",-81.25919342,40.83742905,3,2,1,0
"LOVELADY TX",-95.44617462,31.12744713,3,2,0,1
"LOVELAND CO",-105.0755997,40.39763641,87,24,22,41
"LOVELAND OH",-84.25993347,39.26356506,21,5,11,5
"LOVELL WY",-108.3907242,44.83721924,1,1,0,0
"LOVES PARK IL",-89.05864716,42.31984711,8,4,3,1
"LOVINGTON NM",-103.3533325,32.9454422,1,1,0,0
"LOWELL AR",-94.13114166,36.25540161,4,2,0,2
"LOWELL IN",-87.42073059,41.29130173,31,10,11,10
"LOWELL MA",-71.31530762,42.63344574,148,47,38,63
"LOWELL MI",-85.34220123,42.93387604,5,3,2,0
"LOWER BURRELL PA",-79.75662994,40.55336761,1,0,0,1
"LOWVILLE NY",-75.49127197,43.78682709,4,2,1,1
"LUBBOCK TX",-101.8544312,33.59677505,321,75,92,154
"LUCAS KS",-98.53717041,39.05620193,1,0,1,0
"LUCEDALE MS",-88.59013367,30.92567635,22,5,4,13
"LUDINGTON MI",-86.4526062,43.95513153,1,1,0,0
"LUFKIN TX",-94.72932434,31.33858681,33,5,14,14
"LUMBERTON NC",-79.00803375,34.61832428,18,6,7,5
"LUMBERTON NJ",-74.80423737,39.9662323,2,0,0,2
"LUMBERTON TX",-94.19047546,30.25369263,2,2,0,0
"LURAY VA",-78.45899963,38.66542816,8,0,1,7
"LUTHER OK",-97.19435883,35.66645432,5,1,1,3
"LUTTRELL TN",-83.74188995,36.19982529,1,0,1,0
"LUVERNE MN",-96.21320343,43.65433121,1,0,0,1
"LYNBROOK NY",-73.67084503,40.65480042,1,1,0,0
"LYNCHBURG VA",-79.14174652,37.41383362,63,19,19,25
"LYNDEN WA",-122.455101,48.94639969,71,10,24,37
"LYNDHURST NJ",-74.12353516,40.81222153,10,2,4,4
"LYNDHURST OH",-81.48820496,41.52012253,7,1,0,6
"LYNN MA",-70.94833374,42.46699905,75,16,30,29
"LYNNWOOD WA",-122.3175736,47.82042313,122,25,47,50
"LYNWOOD CA",-118.2135544,33.93053055,129,40,33,56
"LYNWOOD IL",-87.53853607,41.52642059,13,6,3,4
"LYONS CO",-105.272377,40.22478485,3,2,0,1
"MACCLESFIELD NC",-77.66950226,35.75227356,10,1,4,5
"MACKINAW IL",-89.35753632,40.53728104,13,5,2,6
"MACOMB IL",-90.67189026,40.45938873,8,1,2,5
"MADELIA MN",-94.42191315,44.05470276,14,0,10,4
"MADERA CA",-120.0627594,36.96101379,19,8,4,7
"MADISON AL",-86.487213135,33.561834335,32,10,7,15
"MADISON CT",-72.59211731,41.28052902,16,2,3,11
"MADISON GA",-83.4675827,33.59574127,3,1,2,0
"MADISON HEIGHTS MI",-83.10519409,42.48604965,13,3,4,6
"MADISON IL",-90.15700531,38.68284988,21,5,1,15
"MADISON IN",-85.39073181,38.74140167,1,0,1,0
"MADISON MS",-90.11543274,32.46231079,69,19,13,37
"MADISON NC",-79.95928192,36.38565063,2,0,0,2
"MADISON NE",-97.45545959,41.82836151,7,1,3,3
"MADISON NJ",-74.41627502,40.76013184,15,6,3,6
"MADISON OH",-81.04933929,41.77106476,2,1,0,1
"MADISON SD",-97.11444855,44.00682449,21,4,6,11
"MADISON VA",-78.25695038,38.38075638,6,3,2,1
"MADISON WI",-89.40128326,43.07303619,2583,729,717,1137
"MADISON WV",-81.82273102,38.06180191,4,0,2,2
"MADISONVILLE KY",-87.49914551,37.32824707,1,0,0,1
"MADISONVILLE LA",-90.15699005,30.40480232,10,0,5,5
"MADISONVILLE TN",-84.3633728,35.5197525,3,0,1,2
"MADISONVILLE TX",-95.9119339,30.95035172,2,0,0,2
"MADRID IA",-93.82368469,41.87657166,1,1,0,0
"MAGDALENA NM",-107.243515,34.11511993,4,0,2,2
"MAGNOLIA AR",-93.23983765,33.26739883,2,0,0,2
"MAGNOLIA TX",-95.75150299,30.20981598,9,2,2,5
"MAHOMET IL",-88.40461731,40.19519806,4,0,1,3
"MAHTOMEDI MN",-92.95236206,45.06974411,1,0,1,0
"MAHWAH NJ",-74.14279175,41.08900452,7,3,2,2
"MAIDEN NC",-81.21118164,35.57601166,2,0,0,2
"MAIDEN ROCK WI",-92.31015778,44.56087494,1,1,0,0
"MAINEVILLE OH",-84.2207489,39.31535339,1,1,0,0
"MAITLAND FL",-81.36436462,28.62580872,1,0,0,1
"MAIZE KS",-97.46515656,37.77322006,7,2,1,4
"MALDEN MA",-71.06546783,42.42518234,30,6,10,14
"MALDEN MO",-89.96641541,36.55708313,13,4,6,3
"MALVERN AR",-92.81313324,34.36237717,13,1,5,7
"MALVERN OH",-81.18108368,40.69194412,1,1,0,0
"MALVERN PA",-75.51319885,40.03642654,28,12,9,7
"MALVERNE NY",-73.67324829,40.67933273,3,1,1,1
"MAMARONECK NY",-73.73201752,40.94874191,1,0,0,1
"MAMMOTH LAKES CA",-119.0125961,37.60457611,12,3,6,3
"MANALAPAN NJ",-74.39516449,40.25764465,4,2,2,0
"MANASQUAN NJ",-74.04832458,40.12630463,5,3,1,1
"MANASSAS PARK VA",-77.46895599,38.7841301,20,3,8,9
"MANASSAS VA",-77.47459412,38.75112534,77,26,22,29
"MANAWA WI",-88.91982269,44.46425247,1,0,0,1
"MANCELONA MI",-85.06100464,44.90218735,3,2,0,1
"MANCHESTER CT",-72.52075958,41.77622986,19,7,5,7
"MANCHESTER KY",-83.76169586,37.15374756,3,0,2,1
"MANCHESTER MO",-90.50953674,38.597229,23,7,3,13
"MANCHESTER NH",-71.45406342,42.99581528,566,151,178,237
"MANCHESTER TN",-86.08409882,35.48292923,2,1,0,1
"MANDAN ND",-100.8964386,46.82664108,17,6,7,4
"MANDEVILLE LA",-90.06562805,30.35881805,49,11,15,23
"MANHATTAN BEACH CA",-118.4129181,33.88484192,100,30,29,41
"MANHATTAN IL",-87.98616791,41.42261124,2,0,1,1
"MANHATTAN KS",-96.57228851,39.18354034,222,59,59,104
"MANILA AR",-90.16703796,35.88010788,1,0,0,1
"MANISTEE MI",-86.3241806,44.24435043,3,1,0,2
"MANITO IL",-89.77931213,40.42595291,3,1,0,2
"MANITOU SPRINGS CO",-104.9184494,38.85948944,26,7,8,11
"MANITOWOC WI",-87.65751648,44.08858871,3,1,0,2
"MANKATO MN",-94.02125549,44.15895462,294,69,69,156
"MANNING IA",-95.06541443,41.90926743,4,1,1,2
"MANNING SC",-80.21025085,33.69546509,294,73,88,133
"MANOR TX",-97.55760193,30.34129524,7,2,2,3
"MANSFIELD AR",-94.2530365,35.05989456,13,4,3,6
"MANSFIELD MA",-71.21801758,42.03358078,4,2,1,1
"MANSFIELD OH",-82.51545715,40.75864792,29,5,8,16
"MANSFIELD TX",-97.14230347,32.56362152,38,8,12,18
"MANTECA CA",-121.2179031,37.79747391,37,6,11,20
"MANTON MI",-85.39889526,44.41087341,1,0,1,0
"MANTORVILLE MN",-92.75609589,44.06903458,1,0,1,0
"MANTUA NJ",-75.17108917,39.79433823,3,0,1,2
"MANVEL TX",-95.35823822,29.46306229,8,3,0,5
"MAPLE GROVE MN",-93.47679138,45.14711761,48,7,16,25
"MAPLE HEIGHTS OH",-81.5656662,41.41540146,5,0,2,3
"MAPLE SHADE NJ",-74.9913559,39.95294571,38,11,13,14
"MAPLE VALLEY WA",-122.0403976,47.40601349,9,1,6,2
"MAPLETON IA",-95.79370117,42.16596603,1,1,0,0
"MAPLETON KS",-94.8840332,38.01527786,3,2,0,1
"MAPLETON UT",-111.5824585,40.13248444,4,1,1,2
"MAPLEWOOD MN",-93.05480194,45.01259232,7,1,2,4
"MAPLEWOOD MO",-90.32471466,38.6126976,172,66,37,69
"MAPLEWOOD NJ",-74.27243805,40.77401733,138,41,34,63
"MAQUOKETA IA",-90.66600037,42.06900024,34,12,9,13
"MARANA AZ",-111.2269363,32.43688965,14,3,2,9
"MARATHON FL",-81.09011841,24.71463966,20,7,7,6
"MARBLE FALLS TX",-98.27365875,30.5784893,1,0,0,1
"MARBLEHEAD MA",-70.85662079,42.50020599,7,1,1,5
"MARCELINE MO",-92.94842529,39.71203232,2,1,0,1
"MARCUS IA",-95.8081131,42.82571793,5,3,0,2
"MARFA TX",-104.0205383,30.30808449,58,12,21,25
"MARGATE FL",-80.20605469,26.24529266,1,0,1,0
"MARIANNA FL",-85.22673798,30.77488518,70,16,19,35
"MARICOPA AZ",-112.0491562,33.05832672,49,15,11,23
"MARIETTA GA",-84.54958344,33.9527359,505,117,154,234
"MARIETTA OH",-81.45451355,39.41536331,8,0,4,4
"MARIETTA OK",-97.11754608,33.93697739,5,1,1,3
"MARINA CA",-121.8042831,36.6841507,24,3,6,15
"MARINE CITY MI",-82.49177551,42.71967697,1,0,0,1
"MARINETTE WI",-87.63109589,45.10002518,8,1,3,4
"MARINGOUIN LA",-91.51993561,30.49166107,4,1,0,3
"MARION AL",-87.31942749,32.63277054,8,3,2,3
"MARION AR",-90.19646454,35.21472931,21,6,10,5
"MARION IA",-91.60752869,42.032547,20,3,9,8
"MARION IL",-88.93344116,37.73056412,34,5,14,15
"MARION IN",-85.65896606,40.55827332,50,11,17,22
"MARION KS",-97.018013,38.34838867,4,2,2,0
"MARION MS",-88.64802551,32.41785049,7,2,0,5
"MARION NC",-82.00868225,35.68405914,3,1,2,0
"MARION OH",-83.12861633,40.58881378,27,10,3,14
